"census_tract","femaleP","childP","Ov70P","IncomeBl10KP","Income50K200KP","IncomeOv200KP","InLaborP","ByCarP","ByCabMotorBicycleP","CommuteOv20minP","NHwhiteP","blackP","AmIndP","asianP","hisP","minDisHosp","FQHCdrivetime","FQHCcount","Hospdrivetime","Hospcount","Rxdrivetime","Rxcount","MHdrivetime","MHcount","noHSP","disbP","SDOH","unempP","povP","pciE","NoIntPct","essnWrkP","vacantP","mobileP"
17031220500,49.1519307109347,11.3316492241068,3.75315770479971,1.47299509001637,63.0114566284779,7.36497545008183,81.7891373801917,22.1645367412141,7.06869009584665,64.6166134185303,70.4438830747023,4.51100685673042,0,2.27354745579213,21.3280404186214,1.98,3.89,195,4.81,60,0,695,5,97,3.61,2.5,6,1.4,8.5,48991,6.31,23.11,7.87,0
17031410100,54.7552054023635,13.3370849746764,6.75295441755768,16.72760511883,40.9506398537477,0.548446069469835,66.1635220125786,16.0377358490566,3.64779874213836,37.1069182389937,26.3927968486213,46.1451885199775,0,6.86550365785031,17.55768148565,1.73,3.14,217,3.97,55,1.88,600,5.6,90,5.3,7.7,6,7.1,21.1,40969,10.39,19.42,8.95,0
17031561100,48.8384465330732,27.5580776733463,10.7111189927292,2.5130890052356,64.3455497382199,2.09424083769634,65.2340234023402,48.1323132313231,0.427542754275428,46.4671467146715,54.4777442809009,0.283738251463025,0,0,45.2385174676361,4.24,1.33,193,9.22,56,1.33,669,8.24,101,15.38,11.7,2,6.6,4.3,31803,12.57,46.49,7.83,0.94
17031160300,54.2454018644495,15.5454774502394,6.72713529856387,11.864406779661,45.9745762711864,1.48305084745763,69.7414806110458,35.9870740305523,0.440658049353702,52.5264394829612,54.724111866969,8.64197530864197,0.831443688586546,12.8999748047367,20.2317964222726,1.59,4.02,187,5.23,57,2.46,697,4.26,96,7.01,9.7,6,4.8,12.1,39096,11.83,37.86,7.82,0
17031807000,52.8870162297129,28.3551810237203,10.1279650436954,5.58046836073742,46.8360737419033,1.89337319382162,61.5369261477046,48.0039920159681,1.03792415169661,35.7085828343313,48.0649188514357,11.5480649188514,0,23.876404494382,14.6847690387016,1.51,0,136,3.13,46,0,581,3.13,80,13.53,5.6,2,6.9,15,23976,8.06,52.32,6.08,0
17197880105,45.5895418200279,29.0519101408808,5.22908998603884,1.97066911090742,73.6021998166819,3.66636113657195,74.9708770178066,67.5320352804127,2.22998835080712,43.7177566982859,42.6830816093413,17.3499175022211,0.266531285696154,10.3058763802513,25.1681685493083,2.31,6.85,21,6.85,11,5.12,208,6.85,27,15.19,7.5,3,3.1,9.2,27219,9.69,55.47,7.63,0.71
17031730400,51.4494580287371,16.7128812704815,18.14973531636,8.90937019969278,50.2304147465438,3.84024577572965,60.5633802816901,36.6784037558685,0.616197183098592,40.2582159624413,0.327703554323166,95.8154776909503,0,0,1.23519032014116,2.81,0,190,6,47,0,511,5.94,84,9.4,18.5,1,8.4,13,28497,24.2,46.51,5.3,0
17031815200,52.8728314499443,26.643323253223,6.55737704918033,8.12351543942993,56.9121140142518,0.855106888361045,69.2085737840066,50.638911788953,0.577081615828524,44.9505358615004,25.401878083718,7.38500716218367,1.51201655260226,3.08769696005093,62.5338214228872,0.81,2.36,190,3.99,55,3.31,684,0,100,22.49,7.3,2,7.7,16.7,23097,5.46,55.82,5.78,0
17031530200,55.6107473470309,32.7161887559268,9.93452246556785,13.215859030837,27.2393538913363,0,56.4316635745207,25.2319109461967,0.371057513914657,34.3846629560915,0,99.3226461955295,0,0,0,1.1,3.49,140,3.49,34,2.86,410,10.38,54,19.61,14,4,27,32.4,18115,21.65,58.23,36.08,3.16
17031252000,56.6994037179937,27.2535952297439,6.1381971238162,28.3035324901875,20.8024422154383,0.610553859572612,54.6283934134401,21.4063195371607,0,35.2469959946595,1.75377060680463,97.1939670291126,0,0,0.964573833742547,0.84,0,192,3.31,60,2.3,720,0,107,18.92,17.8,4,8.8,33.5,17513,48.89,61.18,13.56,0
17111870402,49.2492492492492,29.2125458792125,5.82248915582249,11.48473874806,56.595964821521,3.15571650284532,68.3222958057395,57.8807947019868,1.32450331125828,35.8278145695364,60.5605605605606,5.15515515515516,0,2.7027027027027,30.6139472806139,5.88,10.36,4,10.36,3,2.88,34,0,11,18.62,9.5,3,4.1,16.3,25139,9.28,54.72,3.86,0
17097864203,51.1878081577768,27.5212909009413,4.72882115643209,1.75,69.5,3.3125,74.2036405005688,65.358361774744,0.853242320819113,51.905574516496,87.9202151501569,0.672344240251008,0,0.941281936351412,10.2420439264904,7.06,18.11,4,16.87,4,0,90,17.62,5,4.72,7.9,3,3.6,4.3,37236,8.73,34.74,6.33,0
17031831100,49.8654269635429,24.8715439197455,8.23342304869097,5.64748201438849,46.4388489208633,2.41007194244604,63.7351033338362,36.2196409714889,1.10122190375622,47.8805249660582,29.2390506483974,1.9084903352092,0,5.35845363347198,62.747736726205,0.81,4.86,194,3.71,59,0,684,6.27,94,26.26,8,5,4.4,10.2,27385,17.73,56.63,8.84,0
17111870500,45.4979460419674,26.9124014655268,6.17297657377595,6.19131455399061,55.8392018779343,4.04929577464789,71.8263601313723,57.575324860774,0.928173639868628,41.2251892046266,90.4185633396247,0.0444099034084601,0,1.26568224714111,7.02786721438881,6.01,21.95,2,19.54,2,11.63,28,11.63,11,6.68,11.7,3,4.7,8.6,35740,4.17,46,5.79,0
18127980002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.02,17.07,14,25.05,4,17.07,30,23.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17097860809,49.373508353222,24.1646778042959,13.6038186157518,4.12955465587045,69.4736842105263,9.39271255060729,63.7463343108504,53.2991202346041,0.549853372434018,43.4384164222874,91.1694510739857,0.835322195704057,0,1.22315035799523,4.3854415274463,16.15,16.39,5,27.78,3,6.26,60,17.59,5,2.42,9.9,2,2,5.2,38830,9.51,34.31,9.29,1.12
17031100100,46.5750736015702,21.4131501472031,13.3464180569185,9.88179669030733,56.5011820330969,6.05200945626478,63.5112291716977,46.5829509780246,0,41.1494808017387,86.6732090284593,0.0196270853778214,0,1.1972522080471,11.2266928361138,2.12,8.57,171,6.74,58,0,709,4.58,98,8.81,10.8,2,9.3,7.2,48805,13.99,47.24,10.18,0
17031430102,54.1652946987158,15.870925255186,11.9855120184393,29.3766937669377,21.5718157181572,1.51761517615176,60.2831594634873,17.2131147540984,0.745156482861401,45.4545454545455,1.90977938755351,94.10602568324,0.724399078037537,0,3.22686862034903,0.88,2.58,216,2.19,54,1.63,577,5.46,91,10.23,18.3,6,9.6,27.2,24528,28.77,46.35,6.25,0
17111870803,49.5253976398153,22.4345818368394,8.08106721395588,0.337495781302734,65.1366857914276,11.3736078299021,71.9717877951549,58.065010732904,1.21128488193806,34.4832873351733,91.2904053360698,0.34633145202668,0,1.41097998973833,5.51564905079528,3.32,13.19,4,0,3,9.58,61,9.8,11,1.52,7.8,2,4.1,1.5,46903,4.75,35.81,5.72,0
17097860301,51.1824817518248,43.3284671532847,4.40875912408759,20.1143946615825,39.8474737845567,0,70.9760273972603,55.0941780821918,0,47.0890410958904,20.5547445255474,40.0875912408759,0.525547445255474,1.08029197080292,39.5620437956204,1.61,5.53,12,4.32,7,4.32,72,7.29,21,18.87,12.7,4,10.6,27.8,18209,18.48,43.8,11.06,0
17031700501,50.372792674951,24.1334205362982,9.61412688031393,6.93430656934307,64.4363341443633,2.23033252230333,64.074015994982,39.9874549161048,0.172494903559668,45.0682138936804,4.63047743623283,86.1478090255069,0.039241334205363,0.104643557880968,2.87769784172662,2.16,4.92,196,5.07,52,3.33,572,6.1,92,4.77,9.3,1,9.3,6.3,28167,16.5,53.99,8,0
18089030200,55.1673944687045,45.4148471615721,10.6259097525473,23.0769230769231,24.9417249417249,1.86480186480186,46.2469733656174,35.4721549636804,0,22.8813559322034,1.16448326055313,58.2241630276565,0,0,40.6113537117904,1.38,3.3,91,3.3,24,2.32,187,3.3,26,30.25,16.7,4,9.3,31.1,24609,28.54,66.42,25.42,0
17031805401,47.8017585931255,17.7458033573141,16.6000532907008,7.96783625730994,55.4093567251462,7.52923976608187,62.9234629861982,50.6587202007528,0.627352572145546,36.0100376411543,77.5646149746869,3.94351185718092,0,7.5406341593392,8.76632027711164,1.57,3.69,138,5.8,50,0,654,5.8,87,15.59,13.6,1,5.5,8.7,32856,20.77,51.37,5.04,0
17031260700,52.6425954997384,37.6242804814233,5.91313448456306,22.9090909090909,18.1818181818182,0.727272727272727,43.3135215453195,10.5497771173848,1.70876671619614,28.3060921248143,1.93615907901622,90.2145473574045,0.261643118785976,0,5.12820512820513,1.11,2.41,199,2.71,62,2.46,739,2.68,108,24.81,22.3,4,16.7,52.2,11722,40.73,52.5,30.69,0
17197881401,48.8715016551309,35.1790550707192,5.80800481492627,4.72297910990009,38.1471389645777,0.72661217075386,67.2640382317802,53.9625647152529,0,35.7626443647949,39.301835690641,2.91904905206139,1.29401143544989,2.58802287089979,53.1748420102317,3.62,7.91,7,7.91,3,2.8,121,4.31,12,26.78,12,3,5.8,16.2,17113,19.91,62.14,12.29,0
17043841327,50.716577540107,24.9625668449198,4.94117647058823,0.548696844993141,66.1865569272977,25.2400548696845,76.5645456925897,65.8025661167845,0.366588112071223,51.400890285415,82.9304812834225,0.406417112299465,0,9.79679144385027,5.2620320855615,6.08,12.12,22,15.05,9,0,177,15.05,22,4.44,4.5,2,3.2,2.1,45576,2.59,32.75,1.79,0
17031827400,55.3355079217148,19.0820130475303,16.2395153774464,31.7798989331836,23.8629983155531,0.617630544637844,52.2802197802198,34.2307692307692,0,25.1373626373626,1.72413793103448,83.3178005591799,0,1.53774464119292,13.4669151910531,0.49,0,110,0,27,0,345,0,41,16.8,16.6,4,21.1,35.9,14334,37.36,62.32,22.57,0
17089851301,50.3286384976526,34.4366197183099,3.26291079812207,9.2128801431127,45.3488372093023,0.268336314847943,78.6195826645265,60.1605136436597,3.98073836276083,41.6372391653291,17.6525821596244,4.13145539906103,0.539906103286385,0.774647887323944,73.7089201877934,3.73,1.81,21,7.59,10,1.78,193,1.81,16,44.17,7.1,5,5.6,21.3,17016,27.75,71.32,8.12,0
17043844702,51.1668107173725,26.5859982713915,13.4312878133103,3.96907216494845,39.1752577319588,40.4639175257732,58.1566614594957,39.5893773711225,0.245480919437626,33.9879491185003,82.8176318063959,1.0371650821089,0,10.2679343128781,3.04235090751945,1.81,8.6,136,4.21,46,0,617,0,91,6.13,10.8,2,0.9,2.8,79033,6.68,22.49,5.56,0
17031130100,57.9491833030853,24.010889292196,27.3865698729583,14.974358974359,27.7435897435897,8.46153846153846,44.6698219517692,32.9051160694163,0,26.3015551048005,65.8439201451906,2.52268602540835,0.326678765880218,25.0090744101633,6.00725952813067,2.08,3.88,175,4.47,54,0,644,4.47,90,10.73,18.3,7,3.5,13.1,31440,24.93,30.1,4.49,0
17031120300,52.3939393939394,25.9848484848485,11.5454545454545,4.75578406169666,54.0274207369323,23.6075407026564,70.7816499310888,56.1330970663516,0.354400472533963,47.8243748769443,72.6818181818182,0.848484848484849,0,15.9848484848485,9.24242424242424,3.17,5.3,177,5.89,54,0,655,3.88,93,4.22,8.1,2,3.6,4.2,53414,8.83,35.15,4.13,0
