"census_tract","femaleP","childP","Ov70P","IncomeBl10KP","Income50K200KP","IncomeOv200KP","InLaborP","ByCarP","CommuteOv20minP","NHwhiteP","blackP","asianP","hisP","minDisHosp","FQHCdrivetime","FQHCcount","Hospdrivetime","Hospcount","Rxdrivetime","Rxcount","MHdrivetime","MHcount","noHSP","disbP","SDOH","unempP","povP","pciE","NoIntPct","essnWrkP","vacantP","mobileP"
34023001415,52.8391455176191,26.2552492240278,10.1150264743473,0.966458214894827,57.7032404775441,27.4019329164298,64.1431520991053,38.3115393438862,37.3709566414315,41.2086908891729,0.967683038159576,48.3841519079788,8.38050027387256,1.64,0,30,4.28,29,0,511,10.63,59,5.64,6.9,2,3.6,1.9,59910,5.76,22.79,4.37,0
36087010503,51.9854132901134,21.839546191248,10.9400324149109,2.07064555420219,61.8757612667479,23.3861144945189,68.8725490196078,55.1960784313726,46.6666666666667,52.8768233387358,25.6077795786062,13.290113452188,5.95623987034036,6.87,14.21,17,11.85,5,9.1,129,13.68,12,9.35,10.2,2,4.8,4.4,52166,4.89,36.2,7.04,7.64
34035052203,48.9507892293408,24.7910863509749,12.2191272051996,0.459506031016657,44.5146467547387,47.9035037334865,60.6109324758842,45.7969683050069,37.7813504823151,74.2989786443825,1.52274837511606,19.6657381615599,2.97121634168988,5.8,16.53,11,14.86,17,0,273,10.88,31,3.12,9,2,4.8,0.9,94832,3.71,22.35,0.88,0
36081094500,47.451898075923,23.9469578783151,12.6105044201768,5.41195476575121,60.9854604200323,9.45072697899838,57.5232595444337,40.5197305101059,37.0869425729868,50.8320332813313,1.09204368174727,23.4529381175247,21.1908476339054,3.37,6.44,451,7.94,84,0,2735,6.44,309,16.8,9.9,2,3.9,6.1,32866,19.67,42.19,18.04,0
34025810003,51.7895144128458,28.2066163668021,9.15070613271426,3.17361543248289,57.2495332918482,25.7622899813317,63.47588264545,47.289905519642,39.0850323222277,92.3582898046044,1.45095763203714,2.53433933062488,2.18610949893596,6.42,14.33,10,17.23,11,0,223,12.58,17,3.01,10.3,2,3,3.2,55023,2.08,24.89,1.39,0
36005045101,48.5142118863049,13.953488372093,14.2118863049096,3.63881401617251,58.6253369272237,4.04312668463612,64.5257654966393,26.2135922330097,45.1829723674384,80.1679586563308,1.09819121447028,7.29974160206718,9.88372093023256,0.41,2.95,351,2.85,74,0,2096,2.85,253,6.9,12,6,3.1,4.2,45841,16.51,34.21,10.45,0.83
34023008406,53.857791225416,25.9203227433182,12.7584467977811,2.32558139534884,61.3372093023256,22.5290697674419,66.3498098859315,54.0557667934094,46.0709759188847,56.1775088250126,3.88300554715078,26.6767523953606,8.06858295511851,7.74,11.9,15,13.62,18,3.75,308,11.15,34,5.82,10.5,2,3.3,3,47282,2.88,22.79,2.74,8.78
36119009703,53.3315635784444,19.4850013273162,20.9715954340324,3.93811533052039,50.351617440225,38.6779184247539,60.5420737472424,42.5464859754176,32.4929089190041,84.4704008494823,1.93788160339793,4.30050438014335,7.77807273692594,1.72,8.65,131,6.56,30,6.56,575,6.56,98,3.07,8.4,2,2.5,4.8,85084,4.2,19.46,6.49,1.95
34003023402,48.1656432057944,18.5010234608723,7.05400724295387,10.4116222760291,39.9515738498789,8.5956416464891,67.1957671957672,46.8442932728647,41.9879062736206,22.3114470162179,24.1694221382459,11.4942528735632,43.221539914974,0.53,4.73,355,0,86,0,2331,0,262,14.86,11.9,6,3.7,14.8,34402,14.41,43.04,7.08,0
34003061300,52.7741935483871,27.2,18.5032258064516,3.76740376740377,41.8509418509419,35.2170352170352,50.6365372374284,37.0464672183323,26.0661998726926,88.8258064516129,0.645161290322581,3.69032258064516,6.29677419354839,0.84,11.56,234,0,46,0,1214,0,147,7.18,9.2,2,7.8,5,72669,14.34,19.39,3.03,0
