,origin,destination,minutes
3277787,36085027900,36085020804,93.5
3277797,36085027900,36085017007,65.35
3277804,36085027900,36085024402,165.9
3277805,36085027900,36085024401,158.19
3277903,36085029102,36085012804,116.28
3277905,36085029102,36085011201,132.91
3277908,36085029102,36085027900,85.94
3277909,36085029102,36085012806,111.8
3277911,36085029102,36085013800,91.93
3277915,36085029102,36085018100,107.41
3277918,36085029102,36085027302,68.2
3277920,36085029102,36085027301,56.39
3277927,36085029102,36085027704,47.67
3277930,36085029102,36085029102,0.0
3277951,36085029102,36085014700,83.8
3277961,36085029102,36085013302,94.61
3277971,36085029102,36085006700,114.46
3277998,36085029102,36085015400,119.59
3277999,36085029102,36085012805,112.44
3278001,36085029102,36085013204,107.22
3278007,36085029102,36085015603,119.67
3278009,36085029102,36085019800,140.15
3278010,36085029102,36085020803,119.71
3278011,36085029102,36085017600,120.78
3278017,36085029102,36085020804,109.44
3278027,36085029102,36085017007,75.91
3278037,36085029102,36085024401,166.16
3278581,36085017007,36085012804,103.55
3278583,36085017007,36085011201,121.16
3278586,36085017007,36085027900,65.35
3278587,36085017007,36085012806,91.91
3278589,36085017007,36085013800,73.24
3278593,36085017007,36085018100,95.65
3278596,36085017007,36085027302,83.02
3278598,36085017007,36085027301,85.33
3278602,36085017007,36085027704,62.29
3278605,36085017007,36085029102,75.91
3278622,36085017007,36085014700,126.28
3278627,36085017007,36085015400,95.04
3278628,36085017007,36085012805,88.91
3278630,36085017007,36085013204,73.9
3278634,36085017007,36085015603,63.06
3278636,36085017007,36085019800,76.84
3278637,36085017007,36085020803,59.01
3278638,36085017007,36085017600,52.43
3278645,36085017007,36085020804,47.27
3278655,36085017007,36085017007,0.0
3278661,36085017007,36085024402,124.06
3278662,36085017007,36085024401,116.35
3280168,36085006700,36085012804,122.79
3280170,36085006700,36085011201,101.19
3280173,36085006700,36085027900,112.59
3280174,36085006700,36085012806,124.69
3280176,36085006700,36085013800,110.06
3280180,36085006700,36085018100,101.17
3280183,36085006700,36085027302,79.55
3280185,36085006700,36085027301,88.31
3280189,36085006700,36085007400,80.17
3280193,36085006700,36085027704,102.34
3280196,36085006700,36085029102,114.46
3280212,36085006700,36085001800,79.37
3280218,36085006700,36085014700,38.3
3280228,36085006700,36085013302,23.06
3280231,36085006700,36047005601,165.67
3280233,36085006700,36047005400,163.8
3280234,36085006700,36047005202,163.27
3280241,36085006700,36085006700,0.0
3280245,36085006700,36047005201,161.37
3280247,36085006700,36047005000,157.57
3280248,36085006700,36047004600,149.83
3280249,36085006700,36047004400,148.46
3280274,36085006700,36047013200,150.86
3280279,36085006700,36047012801,148.64
3280284,36085006700,36047012600,140.95
3280293,36085006700,36047007000,133.96
3280302,36085006700,36047002200,127.09
3280315,36085006700,36047008600,151.09
3280316,36085006700,36047003800,146.38
3280319,36085006700,36047003400,142.01
3280365,36085006700,36061000500,87.96
3280366,36085006700,36047017600,195.84
3280367,36085006700,36047016800,190.9
3280368,36085006700,36047017400,192.66
3280369,36085006700,36047015400,183.52
3280370,36085006700,36047005602,169.01
3280371,36085006700,36047016400,179.63
3280384,36085006700,36047028000,196.43
3280390,36085006700,36085012805,133.68
3280392,36085006700,36085013204,135.15
3280407,36085018100,36085012804,41.56
3280409,36085018100,36085011201,46.17
3280412,36085018100,36085027900,39.09
3280413,36085018100,36085012806,43.27
3280415,36085018100,36085013800,32.86
3280419,36085018100,36085018100,0.0
3280422,36085018100,36085027302,63.68
3280424,36085018100,36085027301,72.4
3280428,36085018100,36085007400,76.73
3280432,36085018100,36085027704,64.49
3280435,36085018100,36085029102,107.41
3280451,36085018100,36085001800,81.16
3280457,36085018100,36085014700,65.02
3280467,36085018100,36085013302,90.12
