,origin,destination,minutes
1661597,17031750400,17031530400,58.76
1661598,17031750400,17031530501,70.61
1661599,17031750400,17031750400,0.0
1661600,17031750400,17031530300,41.63
1661601,17031750400,17031540102,110.06
1661602,17031750400,17031530100,76.36
1661603,17031750400,17031750500,18.63
1661604,17031750400,17031530200,62.38
1661605,17031750400,17031750600,41.19
1661608,17031750400,17031838800,148.5
1661609,17031750400,17031491400,79.31
1661610,17031750400,17031500300,87.07
1661612,17031750400,17031750200,24.24
1661613,17031750400,17031750100,46.26
1661614,17031750400,17031491100,58.86
1661616,17031750400,17031720700,37.14
1661617,17031750400,17031491000,69.22
1661618,17031750400,17031730700,53.77
1661620,17031750400,17031500200,93.97
1661623,17031750400,17031490700,80.16
1661624,17031750400,17031730500,72.95
1661625,17031750400,17031490600,86.07
1661626,17031750400,17031500100,113.69
1661627,17031750400,17031490500,101.96
1661628,17031750400,17031730100,83.95
1661629,17031750400,17031490400,109.97
1661630,17031750400,17031440900,119.57
1661631,17031750400,17031470100,130.3
1661634,17031750400,17031440800,126.4
1661636,17031750400,17031440202,130.84
1661638,17031750400,17031440300,120.89
1661665,17031750400,17031530503,73.12
1661666,17031750400,17031740400,30.37
1661667,17031750400,17031740300,39.91
1661674,17031750200,17031700100,107.24
1661679,17031750200,17031710200,93.68
1661680,17031750200,17031700200,122.49
1661681,17031750200,17031650500,152.0
1661683,17031750200,17031681300,105.58
1661684,17031750200,17031691100,106.86
1661685,17031750200,17031672000,95.98
1661688,17031750200,17031661000,100.6
1661689,17031750200,17031660900,109.95
1661690,17031750200,17031671500,104.99
1661693,17031750200,17031681200,117.5
1661695,17031750200,17031660700,115.72
1661697,17031750200,17031671300,111.41
1661698,17031750200,17031834900,113.87
1661702,17031750200,17031720600,14.22
1661704,17031750200,17031720200,26.36
1661705,17031750200,17031730400,42.51
1661711,17031750200,17031720500,23.96
1661714,17031750200,17031720400,34.87
1661724,17031750200,17031700402,95.72
1661725,17031750200,17031700502,77.87
1661726,17031750200,17031720100,44.29
1661728,17031750200,17031730201,53.29
1661730,17031750200,17031711300,53.92
1661732,17031750200,17031711500,72.69
1661733,17031750200,17031711200,64.47
1661734,17031750200,17031711100,69.55
1661735,17031750200,17031711000,72.86
1661736,17031750200,17031842400,91.41
1661738,17031750200,17031700302,111.54
1661742,17031750200,17031710900,79.3
1661743,17031750200,17031710500,73.19
1661745,17031750200,17031710700,79.9
1661746,17031750200,17031700401,108.9
1661748,17031750200,17031710800,83.74
1661750,17031750200,17031691200,98.18
1661757,17031750200,17031540101,107.27
1661758,17031750200,17031530502,73.05
1661759,17031750200,17031550200,155.97
1661762,17031750200,17031530400,57.51
1661763,17031750200,17031530501,64.95
1661764,17031750200,17031750400,24.24
1661765,17031750200,17031530300,33.44
1661766,17031750200,17031540102,104.41
1661767,17031750200,17031530100,67.93
1661768,17031750200,17031750500,13.39
1661769,17031750200,17031530200,53.95
1661770,17031750200,17031750600,26.23
1661773,17031750200,17031838800,128.0
1661774,17031750200,17031491400,63.68
1661775,17031750200,17031500300,71.85
1661777,17031750200,17031750200,0.0
1661778,17031750200,17031750100,28.05
1661779,17031750200,17031491100,38.37
1661781,17031750200,17031720700,14.18
1661782,17031750200,17031491000,48.73
1661783,17031750200,17031730700,33.28
1661785,17031750200,17031500200,73.48
1661788,17031750200,17031490700,59.66
1661789,17031750200,17031730500,52.45
1661790,17031750200,17031490600,65.57
1661791,17031750200,17031500100,93.18
1661792,17031750200,17031490500,81.45
1661793,17031750200,17031510300,129.85
1661794,17031750200,17031730100,63.45
1661795,17031750200,17031490400,89.47
1661796,17031750200,17031440900,99.07
1661797,17031750200,17031470100,109.8
1661801,17031750200,17031440800,105.9
1661805,17031750200,17031480100,139.3
1661806,17031750200,17031440202,110.34
1661808,17031750200,17031440300,100.38
1661810,17031750200,17031834300,128.82
1661834,17031750200,17031530503,67.47
1661835,17031750200,17031740400,49.26
1661836,17031750200,17031740300,48.39
1661841,17031750200,17031691500,128.12
1661843,17031750200,17031691000,118.31
1661849,17031720500,17031700100,83.45
1661854,17031720500,17031710200,101.72
1661855,17031720500,17031700200,98.68
1661856,17031720500,17031650500,128.19
1661858,17031720500,17031650301,133.35
1661860,17031720500,17031681300,113.69
1661861,17031720500,17031691100,114.97
1661862,17031720500,17031672000,95.71
1661865,17031720500,17031661000,86.79
1661866,17031720500,17031660900,96.13
1661869,17031720500,17031660800,109.84
1661870,17031720500,17031671500,104.72
1661873,17031720500,17031681200,125.61
1661875,17031720500,17031660700,101.91
1661878,17031720500,17031671300,111.14
1661879,17031720500,17031834900,118.98
1661883,17031720500,17031680900,136.38
1661891,17031720500,17031720600,9.79
1661893,17031720500,17031720200,31.8
1661894,17031720500,17031730400,50.62
1661900,17031720500,17031720500,0.0
1661903,17031720500,17031720400,11.54
1661913,17031720500,17031700402,71.91
1661914,17031720500,17031700502,54.09
1661915,17031720500,17031720100,42.71
1661917,17031720500,17031730201,58.74
1661919,17031720500,17031711300,59.03
1661921,17031720500,17031711500,80.8
1661922,17031720500,17031711200,69.1
1661923,17031720500,17031711100,74.66
1661924,17031720500,17031711000,80.97
1661925,17031720500,17031842400,99.52
1661927,17031720500,17031700302,87.73
1661931,17031720500,17031710900,87.41
1661932,17031720500,17031710500,78.26
1661934,17031720500,17031710700,85.01
1661935,17031720500,17031700401,85.09
1661937,17031720500,17031710800,91.85
1661939,17031720500,17031691200,106.29
1661945,17031720500,17031540101,130.31
1661946,17031720500,17031530502,96.09
1661949,17031720500,17031530400,80.71
1661950,17031720500,17031530501,87.99
1661951,17031720500,17031750400,27.59
1661952,17031720500,17031530300,56.65
1661953,17031720500,17031540102,127.45
1661954,17031720500,17031530100,90.97
1661955,17031720500,17031750500,36.21
1661956,17031720500,17031530200,76.99
1661957,17031720500,17031750600,49.43
1661960,17031720500,17031838800,136.11
1661961,17031720500,17031491400,86.72
1661962,17031720500,17031500300,94.89
1661964,17031720500,17031750200,23.96
1661965,17031720500,17031750100,45.17
1661966,17031720500,17031491100,54.53
1661968,17031720500,17031720700,23.16
1661969,17031720500,17031491000,64.89
1661970,17031720500,17031730700,47.77
1661972,17031720500,17031500200,89.64
1661975,17031720500,17031490700,67.77
1661976,17031720500,17031730500,60.56
1661977,17031720500,17031490600,73.68
1661978,17031720500,17031500100,101.29
1661979,17031720500,17031490500,89.56
1661980,17031720500,17031510300,137.96
1661981,17031720500,17031730100,71.56
1661982,17031720500,17031490400,97.58
1661983,17031720500,17031440900,107.18
1661984,17031720500,17031470100,117.91
1661988,17031720500,17031440800,114.01
1661991,17031720500,17031440202,118.45
1661993,17031720500,17031440300,108.49
1661995,17031720500,17031834300,136.93
1662015,17031720500,17031530503,90.51
1662016,17031720500,17031740400,44.2
1662017,17031720500,17031740300,43.34
1662022,17031720500,17031691000,126.42
1662028,17031720600,17031700100,93.03
1662033,17031720600,17031710200,92.78
1662034,17031720600,17031700200,108.31
1662035,17031720600,17031650500,137.82
1662036,17031720600,17031650301,142.98
1662038,17031720600,17031681300,104.74
1662039,17031720600,17031691100,106.02
1662040,17031720600,17031672000,92.14
1662043,17031720600,17031661000,86.4
1662044,17031720600,17031660900,95.74
1662047,17031720600,17031660800,109.45
1662048,17031720600,17031671500,101.15
1662051,17031720600,17031681200,116.66
1662053,17031720600,17031660700,101.52
1662056,17031720600,17031671300,107.57
1662057,17031720600,17031834900,110.03
1662062,17031720600,17031680900,127.43
1662067,17031720600,17031720600,0.0
1662069,17031720600,17031720200,22.86
1662070,17031720600,17031730400,41.67
1662076,17031720600,17031720500,9.79
1662079,17031720600,17031720400,20.68
1662089,17031720600,17031700402,81.53
1662090,17031720600,17031700502,63.67
1662091,17031720600,17031720100,34.09
1662093,17031720600,17031730201,49.79
1662095,17031720600,17031711300,50.08
1662097,17031720600,17031711500,71.86
1662098,17031720600,17031711200,60.63
1662099,17031720600,17031711100,65.71
1662100,17031720600,17031711000,72.02
1662101,17031720600,17031842400,90.57
1662103,17031720600,17031700302,97.36
1662107,17031720600,17031710900,78.47
1662108,17031720600,17031710500,69.35
1662110,17031720600,17031710700,76.06
1662111,17031720600,17031700401,94.71
1662113,17031720600,17031710800,82.91
1662115,17031720600,17031691200,97.34
1662122,17031720600,17031540101,120.55
1662123,17031720600,17031530502,86.33
1662126,17031720600,17031530400,71.19
1662127,17031720600,17031530501,78.23
1662128,17031720600,17031750400,30.27
1662129,17031720600,17031530300,47.12
1662130,17031720600,17031540102,117.69
1662131,17031720600,17031530100,81.21
1662132,17031720600,17031750500,27.08
1662133,17031720600,17031530200,67.23
1662134,17031720600,17031750600,39.91
1662137,17031720600,17031838800,127.16
1662138,17031720600,17031491400,76.96
1662139,17031720600,17031500300,85.12
1662141,17031720600,17031750200,14.22
1662142,17031720600,17031750100,35.41
1662143,17031720600,17031491100,44.77
1662145,17031720600,17031720700,13.37
1662146,17031720600,17031491000,55.13
